DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,1.20575,-1.82649
,0.1,0.87572,-3.09275
,0.2,1.33487,-2.40608
,0.3,0.49899,-1.96811
,0.4,1.06222,-3.7227
,0.5,2.90441,-2.55882
,0.6,1.19288,-2.58332
,0.7,-9.9111e-2,-3.39331
,0.8,-4.76941,-1.61095
,0.9,-8.44365,-1.30571
,1,-8.28621,-0.7287
,1.1,-11.2097,-1.08923
,1.2,-13.4822,0.81016
,1.3,-17.0827,-0.25182
,1.4,-18.956,0.53363
,1.5,-17.6555,0.92049
,1.6,-19.5213,-0.34458
,1.7,-21.698,1.4181
,1.8,-21.9569,1.01303
,1.9,-22.9516,-7.7867e-2
,2,-22.2089,1.48946
,2.1,-24.9768,-0.04697
,2.2,-24.7352,0.99372
,2.3,-27.1037,0.27307
,2.4,-25.6839,-0.36185
,2.5,-25.5556,-0.71126
,2.6,-24.6919,-0.58336
,2.7,-24.3535,-0.90175
,2.8,-24.7857,-6.6303e-2
,2.9,-22.3363,-0.26751
,3,-16.6589,1.43364
,3.1,-13.3167,0.69409
,3.2,-9.6513,1.98849
,3.3,-10.9402,0.74252
,3.4,-8.80462,0.75136
,3.5,-9.43991,0.83671
,3.6,-7.42509,-5.052e-3
,3.7,-2.53924,0.44841
,3.8,-0.26749,-2.2812
,3.9,0.36101,-1.89006
,4,0.27097,-0.22077
,4.1,-0.74944,-1.5004
,4.2,0.96532,-1.16199
,4.3,-0.42517,-1.94319
,4.4,0.57934,-1.31896
,4.5,1.07802,-2.45771
,4.6,-0.35962,-1.45762
,4.7,-0.79589,-1.47145
,4.8,-2.67504,-1.54162
,4.9,-8.01173,-0.3185
,5,-11.7278,-1.52389
,5.1,-11.9009,0.18279
,5.2,-12.4462,0.19185
,5.3,-13.1426,-2.1e-5
,5.4,-14.2869,-0.71003
,5.5,-13.4241,0.75215
,5.6,-14.2933,-0.32579
,5.7,-14.4641,-0.45843
,5.8,-15.661,0.76648
,5.9,-15.1394,0.41474
,6,-15.374,3.1254e-2
,6.1,-15.7812,-9.7199e-2
,6.2,-16.5492,-0.9595
,6.3,-14.6967,-0.80102
,6.4,-16.6117,-0.24715
,6.5,-15.9119,0.74928
,6.6,-15.4876,0.08035
,6.7,-17.0557,-0.80507
,6.8,-16.4659,-7.3381e-2
,6.9,-16.3017,0.42515
,7,-14.9703,-0.85526
,7.1,-15.932,-0.4916
,7.2,-14.5931,0.35647
,7.3,-15.0977,-0.69488
,7.4,-16.0458,-0.77848
,7.5,-14.8593,-0.11244
,7.6,-11.0654,0.70905
,7.7,-9.06173,-0.31535
,7.8,-6.9694,-0.22856
,7.9,-4.92014,-0.60274
,8,-4.6775,-0.63515
,8.1,-4.05276,-1.26206
,8.2,-2.41411,-0.75667
,8.3,-1.06975,-9.1994e-2
,8.4,0.52928,-1.87376
,8.5,1.604,-2.08695
,8.6,3.23906,-1.94204
,8.7,5.06798,-2.24409
,8.8,4.05815,-3.0873
,8.9,3.76509,-2.30822
,9,4.22517,-2.53613
,9.1,3.05364,-1.99564
,9.2,2.35221,-2.8379
,9.3,1.06666,-2.4813
,9.4,-0.10929,-1.50963
