DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,0.87068,1.821
,0.1,1.48202,2.1235
,0.2,0.53192,1.26551
,0.3,1.60566,1.41201
,0.4,1.39673,1.79275
,0.5,1.26509,0.89363
,0.6,2.63828,0.20054
,0.7,1.12392,9.8152e-2
,0.8,4.04559,1.44089
,0.9,5.07313,2.2053
,1,5.19154,2.92099
,1.1,9.21078,1.62062
,1.2,10.2267,1.83908
,1.3,12.1366,3.0214
,1.4,9.28754,3.3003
,1.5,12.4237,3.84111
,1.6,12.2422,4.21403
,1.7,14.5548,3.97608
,1.8,15.3782,4.20702
,1.9,16.6391,4.73204
,2,16.0166,4.80121
,2.1,16.605,4.17204
,2.2,17.4098,3.62958
,2.3,16.5089,4.621
,2.4,17.2203,3.47026
,2.5,15.9084,2.34864
,2.6,15.4941,2.05359
,2.7,15.1397,2.98624
,2.8,13.5517,3.908
,2.9,13.245,2.98127
,3,11.6485,2.68346
,3.1,9.0751,1.85267
,3.2,5.27388,1.79
,3.3,3.22013,2.1604
,3.4,2.16215,2.06649
,3.5,2.18754,1.44557
,3.6,0.76343,1.55106
,3.7,7.1547e-2,1.77612
,3.8,-0.74083,1.95903
,3.9,-8.8129e-2,3.30718
,4,-0.42245,2.57607
,4.1,1.05568,1.89023
,4.2,1.97757,1.1642
,4.3,0.75363,1.36759
,4.4,0.64022,1.73935
,4.5,1.01378,1.60002
,4.6,1.94124,1.60291
,4.7,3.87172,3.03891
,4.8,6.67297,3.09451
,4.9,6.87184,2.25693
,5,8.09211,2.24996
,5.1,8.82353,2.37595
,5.2,7.90316,2.2998
,5.3,4.80423,1.42714
,5.4,3.10939,0.2096
,5.5,2.58795,2.61752
,5.6,3.72954,3.63356
,5.7,6.58287,3.26936
,5.8,7.91346,3.45323
,5.9,9.15868,3.13844
,6,9.31299,3.53016
,6.1,10.6994,3.48661
,6.2,9.02354,3.17169
,6.3,10.5877,4.29307
,6.4,10.2139,4.25361
,6.5,9.87887,2.40793
,6.6,12.2246,4.4845
,6.7,11.5999,2.92607
,6.8,11.6047,2.76524
,6.9,12.4913,2.51005
,7,10.502,1.53482
,7.1,10.5506,2.36324
,7.2,8.11531,2.461
,7.3,8.18757,3.03311
,7.4,6.31679,2.39213
,7.5,5.15323,3.36321
,7.6,3.66914,2.46345
,7.7,3.60437,1.49359
,7.8,4.2566,2.34685
,7.9,3.68636,1.15117
,8,2.72204,1.4484
,8.1,1.66191,2.80573
,8.2,0.13349,1.80274
,8.3,-3.7958e-2,2.83534
,8.4,-0.87379,4.34749
,8.5,-2.4684,2.64475
,8.6,-1.98898,3.68087
,8.7,-1.73143,4.39398
,8.8,-0.15041,2.24447
,8.9,0.58318,1.8073
,9,1.40687,1.47466
,9.1,1.08084,0.7813
,9.2,2.12656,0.78003
,9.3,2.55943,0.90159
,9.4,3.94588,1.7547
,9.5,3.4673,0.69305
,9.6,4.46639,1.84248
,9.7,4.45069,1.41357
,9.8,4.80918,3.22827
,9.9,4.41553,1.82736
,10,5.00138,2.80845
,10.1,4.51099,1.68423
,10.2,5.60423,2.29689
,10.3,4.80169,2.25766
,10.4,8.60342,2.5341
