DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-4.41928,0.33234
,0.1,-3.09134,9.7634e-2
,0.2,-3.83003,0.33563
,0.3,-3.8676,-7.3222e-2
,0.4,-3.91277,-0.32758
,0.5,-3.01986,-2.07717
,0.6,-3.37916,-5.71721
,0.7,-3.12554,-7.74885
,0.8,-3.37237,-10.2111
,0.9,-6.08659,-17.0396
,1,-6.34721,-22.7441
,1.1,-5.79168,-26.115
,1.2,-6.10257,-28.5712
,1.3,-5.94603,-29.886
,1.4,-6.11274,-30.9053
,1.5,-6.40795,-34.5369
,1.6,-7.1131,-35.4502
,1.7,-7.27042,-36.3731
,1.8,-6.92795,-36.6339
,1.9,-6.98207,-36.4798
,2,-7.36237,-36.313
,2.1,-7.62355,-38.6488
,2.2,-7.38816,-36.5702
,2.3,-7.95011,-35.2909
,2.4,-7.84953,-34.6344
,2.5,-8.81541,-32.8038
,2.6,-7.6277,-31.9612
,2.7,-6.35129,-31.402
,2.8,-5.28642,-27.3102
,2.9,-4.643,-23.6053
,3,-4.11046,-21.5446
,3.1,-2.79758,-18.7017
,3.2,-0.84986,-15.067
,3.3,-1.56914,-12.5185
,3.4,0.58021,-10.4746
,3.5,-0.77224,-6.09484
,3.6,8.9926e-2,-2.16738
,3.7,-5.8506e-2,1.23293
,3.8,-1.0357,-0.62511
,3.9,0.18323,-0.77157
,4,-2.55464,0.9125
,4.1,-1.6548,1.87546
,4.2,-1.81121,1.16327
,4.3,-1.08487,1.61575
,4.4,-3.4045,1.79902
,4.5,-2.60777,1.55651
,4.6,-2.89963,1.72425
,4.7,-2.17918,-1.04579
,4.8,-1.19171,-5.0681
,4.9,-2.52453,-9.04837
,5,-2.83872,-10.4737
,5.1,-3.66559,-10.8869
,5.2,-2.6956,-11.8853
,5.3,-2.5123,-16.1135
,5.4,-3.40568,-17.5798
,5.5,-4.69602,-17.6386
,5.6,-4.72302,-17.7434
,5.7,-3.98991,-17.8566
,5.8,-4.12998,-19.0651
,5.9,-4.88226,-17.4225
,6,-4.49717,-17.6741
,6.1,-4.08652,-17.2154
,6.2,-3.3064,-17.515
,6.3,-3.61799,-16.5919
,6.4,-4.93911,-16.6254
,6.5,-4.05466,-16.1169
,6.6,-3.46178,-17.0243
,6.7,-4.50405,-16.362
,6.8,-4.11283,-16.8202
,6.9,-3.78245,-15.0356
,7,-4.21893,-15.6406
,7.1,-4.51314,-15.4046
,7.2,-3.43509,-14.1731
,7.3,-3.3843,-12.962
,7.4,-2.8882,-11.6823
,7.5,-1.90827,-6.81603
,7.6,-1.52073,-5.90859
,7.7,-3.00447,-4.97783
,7.8,-0.86439,-4.20747
,7.9,-1.14582,-3.27696
,8,-2.69354,-0.18056
,8.1,-1.99765,1.01689
,8.2,-1.13401,0.60481
,8.3,-2.16161,0.76507
,8.4,-0.93448,0.41606
,8.5,-2.33354,2.50376
,8.6,-0.26034,3.48871
,8.7,0.45425,2.11137
,8.8,0.2389,1.64397
,8.9,1.82987,2.40904
,9,0.98024,3.08096
,9.1,1.15615,3.84665
,9.2,0.28037,3.61526
,9.3,0.69138,3.68772
,9.4,0.48512,2.89602
