DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-2.38679,1.26619
,0.1,-2.08225,1.58117
,0.2,-2.57279,2.2081
,0.3,-2.14684,1.96287
,0.4,-2.34013,2.13322
,0.5,-1.92089,1.09405
,0.6,-1.62269,3.97581
,0.7,-1.88072,6.10062
,0.8,-0.31242,6.12263
,0.9,-2.60178,8.38183
,1,-3.7654,9.63114
,1.1,-3.62939,10.9907
,1.2,-4.10791,12.4411
,1.3,-3.8484,13.3252
,1.4,-5.87306,13.8079
,1.5,-4.95769,15.215
,1.6,-4.82831,13.6403
,1.7,-4.40211,13.6031
,1.8,-3.58408,14.2349
,1.9,-3.9012,13.9484
,2,-3.46448,13.8541
,2.1,-2.9309,13.7685
,2.2,-3.02072,14.2073
,2.3,-3.05207,14.605
,2.4,-4.44499,13.5035
,2.5,-2.52954,13.0976
,2.6,-2.60771,12.6471
,2.7,-1.7795,12.7918
,2.8,-0.96596,11.8507
,2.9,-0.79739,11.5871
,3,-0.43352,11.4507
,3.1,-1.48342,10.9534
,3.2,-2.58629,8.32091
,3.3,-1.8675,5.36101
,3.4,-2.54814,5.13907
,3.5,-2.10168,3.25052
,3.6,-2.47095,2.75582
,3.7,-1.90318,1.70567
,3.8,-0.858,0.5063
,3.9,-0.66375,-1.26201
,4,-1.61106,-0.64288
,4.1,-1.07798,-0.57342
,4.2,-2.21576,-0.8605
,4.3,-1.39422,0.46869
,4.4,-1.3393,0.28029
,4.5,-0.8678,0.28992
,4.6,-2.28667,0.57108
,4.7,-1.13857,1.48253
,4.8,-1.25117,2.7443
,4.9,-0.71526,2.84449
,5,-1.52177,4.00901
,5.1,-0.90046,3.58874
,5.2,-0.99684,3.8826
,5.3,-0.82088,4.53045
,5.4,0.28565,4.68397
,5.5,-1.44119,7.34962
,5.6,-2.03084,8.44873
,5.7,-3.12954,9.47534
,5.8,-2.55214,9.43483
,5.9,-2.50084,9.90934
,6,-3.40483,9.71656
,6.1,-3.49102,9.79318
,6.2,-3.01941,9.71004
,6.3,-2.71507,9.11067
,6.4,-1.8189,9.2054
,6.5,-3.75489,9.58478
,6.6,-3.25432,9.13779
,6.7,-3.2132,8.71466
,6.8,-3.15647,10.1088
,6.9,-3.86567,9.37718
,7,-2.90991,8.68328
,7.1,-2.82787,8.87706
,7.2,-2.44409,7.92598
,7.3,0.11792,7.52107
,7.4,0.52404,6.04068
,7.5,0.94375,4.92149
,7.6,1.35915,4.36422
,7.7,1.44822,4.03117
,7.8,1.59851,3.60261
,7.9,0.44801,4.53546
,8,-0.43701,3.4959
,8.1,5.9405e-2,3.81427
,8.2,0.37636,2.1083
,8.3,-3.6895e-2,2.98132
,8.4,-1.74398,2.16014
,8.5,-0.60557,0.88653
,8.6,-0.98013,-0.27206
,8.7,-1.2111,0.46795
,8.8,-0.28527,-0.12096
,8.9,-1.59024,-0.3158
,9,-1.3903,-0.39594
,9.1,-1.17144,0.25958
,9.2,-1.56271,0.6659
,9.3,-2.17769,0.11212
,9.4,-1.90199,0.88447
,9.5,-1.32864,2.12055
,9.6,-1.56513,1.98582
,9.7,-1.58743,3.5632
,9.8,-0.35489,3.65041
