DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-13.2798,-2.45271
,0.1,-11.4879,-2.10783
,0.2,-14.9164,-2.01247
,0.3,-13.5771,-2.01718
,0.4,-14.9636,1.03331
,0.5,-12.7454,-0.22023
,0.6,-14.4677,-0.66401
,0.7,-12.0545,-1.48215
,0.8,-14.9676,-1.10094
,0.9,-15.8446,-2.7883
,1,-16.7918,-1.37378
,1.1,-17.8149,-1.67191
,1.2,-18.5701,-0.99253
,1.3,-21.3595,-1.39118
,1.4,-20.2475,-0.7683
,1.5,-23.0355,-2.08634
,1.6,-24.6078,-1.66126
,1.7,-24.2156,-2.87917
,1.8,-27.1496,-2.40749
,1.9,-26.1965,-3.39444
,2,-25.2547,-1.73181
,2.1,-26.6279,-1.68362
,2.2,-24.3332,-1.94652
,2.3,-24.2852,-1.48267
,2.4,-25.5581,-2.41517
,2.5,-25.1288,-3.57869
,2.6,-21.4456,-2.37671
,2.7,-18.3906,-3.43414
,2.8,-17.9447,-4.81559
,2.9,-13.5258,-3.47132
,3,-7.51714,-4.87436
,3.1,-4.44462,-1.48628
,3.2,-5.68762,-3.27366
,3.3,-5.06451,-4.89743
,3.4,-2.22747,-4.198
,3.5,3.5512e-2,-5.15846
,3.6,0.5584,-5.47936
,3.7,0.54225,-6.46537
,3.8,-0.80324,-5.42604
,3.9,1.17336,-6.46845
,4,1.74899,-4.56014
,4.1,1.62314,-5.06231
,4.2,1.67779,-6.01554
,4.3,2.52476,-7.4473
,4.4,3.24274,-5.57263
,4.5,1.17748,-6.20873
,4.6,1.58959,-5.48757
,4.7,3.23309,-5.42518
,4.8,0.4552,-4.6516
,4.9,-2.20152,-2.93481
,5,-3.5903,-4.1871
,5.1,-2.86547,-4.23547
,5.2,-5.65851,-4.67951
,5.3,-12.1728,-2.0121
,5.4,-16.8084,-1.41481
,5.5,-18.1922,-0.98414
,5.6,-19.3185,-2.93078
,5.7,-20.6381,2.06619
,5.8,-22.5204,-2.78336
,5.9,-26.6907,-1.67045
,6,-26.6967,-2.9503
,6.1,-25.6607,-4.32518
,6.2,-24.6651,-2.47608
,6.3,-24.3722,-2.46789
,6.4,-25.4734,-2.16878
,6.5,-26.1332,-3.12242
,6.6,-27.2591,-3.52587
,6.7,-25.894,-1.14624
,6.8,-26.5094,-3.42833
,6.9,-26.9183,-2.98214
,7,-25.7939,-2.74497
,7.1,-24.1101,-3.18505
,7.2,-22.4144,-3.23653
,7.3,-22.1575,-2.57821
,7.4,-20.354,-5.74523
,7.5,-19.3073,-3.82824
,7.6,-16.9602,-3.27398
,7.7,-13.7948,-2.97432
,7.8,-9.00643,-2.26076
,7.9,-4.54603,-4.075
,8,-4.65761,-5.91115
,8.1,-6.00599,-4.4446
,8.2,-5.8169,-4.32166
,8.3,-2.96012,-4.50266
,8.4,-1.809,-5.73007
,8.5,1.02826,-5.85255
,8.6,1.0423,-3.23009
,8.7,1.65776,-5.44895
,8.8,0.84133,-6.07926
,8.9,0.58185,-4.9098
,9,0.43921,-5.717
,9.1,2.74749,-5.34257
,9.2,2.66262,-5.54694
,9.3,2.27653,-6.19379
,9.4,0.69048,-4.51997
