DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,1.0135,-2.50215
,0.1,1.55056,-0.62613
,0.2,0.95356,-1.41833
,0.3,1.17926,2.42357
,0.4,0.85053,-0.22808
,0.5,1.45542,-1.24064
,0.6,0.57395,-0.13803
,0.7,0.52667,-2.00393
,0.8,-2.0522,0.85531
,0.9,-4.47321,-0.24957
,1,-5.9012,-1.01878
,1.1,-5.87068,-0.70247
,1.2,-3.295,-1.32623
,1.3,0.38392,-3.20049
,1.4,3.21269,-2.0857
,1.5,3.47785,-2.9557
,1.6,4.10861,-3.32081
,1.7,5.19884,-2.41494
,1.8,6.67602,-2.98447
,1.9,6.12802,-2.29233
,2,6.79745,-3.15406
,2.1,6.83182,-3.72506
,2.2,6.88548,-2.44597
,2.3,9.08044,-1.09093
,2.4,9.69045,-1.2689
,2.5,11.5191,-0.51443
,2.6,13.3379,-1.62661
,2.7,15.4281,-0.68523
,2.8,13.9231,-0.93684
,2.9,10.6989,-2.63844
,3,11.7072,-2.74212
,3.1,15.7687,-2.16583
,3.2,17.7862,-1.96782
,3.3,18.5055,-1.38404
,3.4,12.023,-3.81515
,3.5,8.39815,-5.53046
,3.6,5.01303,-4.18654
,3.7,3.47535,-3.37102
,3.8,2.65117,-3.15277
,3.9,0.69096,-2.61974
,4,-0.21485,-1.69142
,4.1,0.48726,-2.09366
,4.2,-4.8885e-2,-3.08884
,4.3,0.69853,-2.77084
,4.4,0.10831,-5.06031
,4.5,0.88251,-2.17759
,4.6,-0.2302,-2.58184
,4.7,1.61253,-1.49695
,4.8,1.55572,-2.31334
,4.9,-2.0262e-2,-3.34527
,5,1.35192,-3.39208
,5.1,2.51202,-3.40662
,5.2,3.1255,-2.33472
,5.3,4.50346,-3.7821
,5.4,5.85321,-3.5001
,5.5,6.64897,-2.15281
,5.6,8.52015,-2.92019
,5.7,9.85711,-2.03441
,5.8,11.4907,-1.04631
,5.9,11.8223,-0.48315
,6,14.7306,-2.00161
,6.1,13.5304,-0.11306
,6.2,12.4961,-0.92554
,6.3,12.0415,-0.90735
,6.4,7.23663,-0.66252
,6.5,5.12696,0.10972
,6.6,5.21954,0.97474
,6.7,5.73782,1.67047
,6.8,5.79423,-2.11791
,6.9,4.84097,-1.05687
,7,5.96191,-1.50055
,7.1,6.58447,-1.57978
,7.2,7.12004,-1.68278
,7.3,7.16042,-1.46159
,7.4,7.78028,-1.20466
,7.5,8.09985,-1.53466
,7.6,6.84589,-0.20954
,7.7,6.18058,-0.65669
,7.8,5.57625,-0.7428
,7.9,5.08098,9.6601e-2
,8,3.14684,0.19851
,8.1,2.97301,-3.47894
,8.2,2.01115,-1.44078
,8.3,1.63812,-1.69154
,8.4,1.07665,-1.46535
,8.5,0.74133,-1.63026
,8.6,1.36117,-1.23612
,8.7,1.10625,-1.62049
,8.8,0.99482,-2.01043
,8.9,0.82861,-0.89429
,9,1.56937,-1.41548
,9.1,1.66947,-1.69236
,9.2,0.8185,-1.81294
,9.3,0.81455,-1.84059
,9.4,1.96746,-1.64253
,9.5,2.09785,-2.49444
,9.6,3.85463,-2.81631
,9.7,4.59496,-3.50452
