DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-0.6839,-2.18904
,0.1,-1.36743,-3.08931
,0.2,-1.27417,-3.22495
,0.3,-1.56545,-2.42636
,0.4,-0.96613,-2.60217
,0.5,-1.11367,-2.2981
,0.6,-2.47312,-2.23053
,0.7,-4.4272,-2.34973
,0.8,-8.01478,-5.93669
,0.9,-10.3612,-6.9707
,1,-11.6698,-8.89111
,1.1,-11.9122,-8.64278
,1.2,-14.2087,-8.8649
,1.3,-16.808,-11.4319
,1.4,-21.1854,-12.1668
,1.5,-24.9732,-11.7604
,1.6,-28.6882,-12.348
,1.7,-32.6112,-13.9953
,1.8,-34.8618,-15.2387
,1.9,-36.0832,-15.1282
,2,-36.8625,-15.2221
,2.1,-37.9182,-15.4695
,2.2,-37.7546,-15.1049
,2.3,-36.8057,-14.2282
,2.4,-36.3912,-14.1252
,2.5,-36.445,-15.1399
,2.6,-33.3901,-13.7547
,2.7,-30.0434,-12.8352
,2.8,-29.5208,-12.4709
,2.9,-26.3771,-13.1326
,3,-22.0699,-13.1448
,3.1,-19.8386,-9.95509
,3.2,-18.6823,-10.5297
,3.3,-17.0571,-7.08852
,3.4,-16.0214,-8.6421
,3.5,-13.0065,-7.91061
,3.6,-9.67765,-5.67395
,3.7,-7.20841,-4.9005
,3.8,-5.49878,-3.8457
,3.9,-3.62028,-3.26408
,4,-1.80226,-3.2041
,4.1,-0.86592,-3.3489
,4.2,-0.26679,-2.83131
,4.3,-0.61946,-2.35138
,4.4,0.80321,-1.13317
,4.5,0.45834,-1.22125
,4.6,0.49513,-0.62486
,4.7,1.55462,-0.18275
,4.8,1.21797,-1.00857
,4.9,1.38056,-1.28982
,5,0.34657,-1.1201
,5.1,-1.78596,-1.19403
,5.2,-3.16343,-1.42236
,5.3,-5.41068,-3.25684
,5.4,-8.54284,-4.01636
,5.5,-11.3868,-6.05059
,5.6,-16.0216,-7.16237
,5.7,-19.3627,-8.60938
,5.8,-22.6176,-11.0936
,5.9,-25.3422,-11.56
,6,-26.6879,-10.4494
,6.1,-28.4975,-12.826
,6.2,-27.2531,-12.7246
,6.3,-25.1841,-10.832
,6.4,-24.5623,-10.9036
,6.5,-23.1381,-9.93231
,6.6,-22.8202,-10.3161
,6.7,-21.7435,-10.527
,6.8,-22.7298,-10.13
,6.9,-22.4814,-10.0314
,7,-22.1427,-9.9801
,7.1,-22.1072,-10.1262
,7.2,-20.8332,-10.3602
,7.3,-20.9723,-9.94128
,7.4,-19.4503,-10.0081
,7.5,-18.1523,-9.3718
,7.6,-17.0525,-9.01535
,7.7,-16.3337,-8.35991
,7.8,-12.6658,-6.63394
,7.9,-9.81392,-4.81189
,8,-6.79126,-4.84599
,8.1,-4.37505,-3.70736
,8.2,-2.72224,-3.11139
,8.3,-0.8921,-2.44554
,8.4,-0.95289,-2.95278
,8.5,-1.25414,-2.49194
,8.6,-0.71871,-2.65257
,8.7,-0.29137,-2.06884
,8.8,-0.51603,-2.18175
,8.9,-0.86373,-2.03645
,9,0.30392,-1.18686
,9.1,1.91408,0.59713
,9.2,0.87251,0.1294
,9.3,1.15078,0.18965
