DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,2.67245,-1.46393
,0.1,2.64485,-1.30512
,0.2,1.59111,-1.93438
,0.3,3.00814,-2.80287
,0.4,2.42608,-1.68943
,0.5,3.29928,-1.40483
,0.6,2.84283,-3.68281
,0.7,2.78704,-2.6971
,0.8,3.82112,-3.02297
,0.9,4.2962,-2.65239
,1,4.26423,0.66247
,1.1,4.74801,-3.09856
,1.2,5.51292,-2.37341
,1.3,5.42495,-2.29686
,1.4,6.27221,-2.50354
,1.5,6.59135,-2.00288
,1.6,6.36806,-1.54915
,1.7,7.62307,-1.93566
,1.8,7.15776,-1.50931
,1.9,8.8372,-1.50085
,2,8.1941,-2.03247
,2.1,9.78133,-0.72687
,2.2,10.1768,-1.44988
,2.3,10.7864,0.36904
,2.4,12.3543,-0.43895
,2.5,13.5878,0.87712
,2.6,13.1586,1.17654
,2.7,13.4939,1.22593
,2.8,13.465,0.75168
,2.9,12.2317,-9.6808e-2
,3,10.7261,-1.19311
,3.1,9.4992,-1.39395
,3.2,7.68082,-1.53332
,3.3,5.86868,-3.95556
,3.4,6.40003,-0.57151
,3.5,5.79573,-1.16709
,3.6,4.7414,-0.72748
,3.7,2.5008,-1.38012
,3.8,0.44391,-1.79932
,3.9,0.15479,-2.86987
,4,-0.46449,-2.22152
,4.1,-0.25592,-0.48249
,4.2,-1.3481e-2,-1.5498
,4.3,-2.3657e-2,-1.21951
,4.4,0.67013,-1.05928
,4.5,0.72699,-1.16339
,4.6,0.25225,-1.48592
,4.7,0.83504,-1.62674
,4.8,1.33352,-1.34863
,4.9,1.21227,-1.70995
,5,2.30698,-2.02145
,5.1,3.93396,-1.9598
,5.2,5.29502,-0.81308
,5.3,5.67801,0.19471
,5.4,6.46136,0.9261
,5.5,7.28849,-2.7648e-2
,5.6,7.3954,-0.58021
,5.7,7.14711,0.80359
,5.8,6.43137,-0.8249
,5.9,6.66177,-0.17649
,6,7.08597,1.12261
,6.1,6.5595,-0.54146
,6.2,6.68131,-0.96449
,6.3,6.83134,-9.7006e-2
,6.4,6.99018,-0.25679
,6.5,7.15638,0.68397
,6.6,6.50759,2.25132
,6.7,7.46308,-2.9622e-2
,6.8,6.87696,-4.0629
,6.9,6.33226,-0.43874
,7,7.95794,7.8914e-2
,7.1,8.64361,-6.0434e-2
,7.2,7.47999,0.19925
,7.3,9.08998,-0.62335
,7.4,7.34099,-0.71591
,7.5,7.72101,-0.55755
,7.6,6.22105,2.02252
,7.7,5.38853,-1.23044
,7.8,4.84613,0.1603
,7.9,4.88945,1.27422
,8,5.59517,0.77616
,8.1,5.18078,6.7806e-2
,8.2,4.75455,-0.62347
,8.3,3.28969,0.12398
,8.4,2.12141,-0.87867
,8.5,1.93839,-1.39803
,8.6,1.6729,-1.51939
,8.7,1.04552,-0.77831
,8.8,0.74304,-1.05687
,8.9,0.73556,-1.48608
,9,1.4436,-0.8303
,9.1,1.23459,-1.0116
,9.2,0.90188,0.28329
,9.3,0.5622,-1.28663
,9.4,1.16379,-2.65172
,9.5,1.07455,-0.80131
,9.6,1.1942,-1.32287
,9.7,0.95351,-1.01719
