DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-23.1456,11.2089
,0.1,-26.0127,9.68212
,0.2,-28.0572,10.2433
,0.3,-32.1458,12.0005
,0.4,-33.6304,10.2239
,0.5,-35.874,10.5243
,0.6,-38.199,11.573
,0.7,-41.8007,11.0038
,0.8,-42.4079,12.024
,0.9,-42.6803,11.7735
,1,-43.7505,12.172
,1.1,-43.6539,11.0077
,1.2,-43.1298,12.2769
,1.3,-42.9478,11.565
,1.4,-43.0689,11.5848
,1.5,-42.0338,11.4714
,1.6,-43.3487,11.4435
,1.7,-41.3599,12.1083
,1.8,-40.8649,11.21
,1.9,-39.2248,10.9386
,2,-34.9548,11.7467
,2.1,-31.0311,12.0244
,2.2,-27.8071,11.5253
,2.3,-26.8228,11.4472
,2.4,-26.0964,11.3431
,2.5,-25.483,10.7201
,2.6,-23.6157,10.4995
,2.7,-23.1435,11.1436
,2.8,-22.7473,11.2164
,2.9,-23.4048,11.3081
,3,-22.4522,11.1701
,3.1,-22.0724,11.2678
,3.2,-22.7102,11.0693
,3.3,-22.7465,11.1338
,3.4,-23.5245,10.9153
,3.5,-23.4765,11.3448
,3.6,-23.3331,11.056
,3.7,-22.6021,11.475
,3.8,-22.8337,10.8825
,3.9,-23.3485,10.3497
,4,-23.1682,11.3153
,4.1,-22.8952,10.9019
,4.2,-23.073,11.4767
,4.3,-21.8131,10.9021
,4.4,-25.7843,10.6425
,4.5,-29.0077,9.69947
,4.6,-31.3449,10.9859
,4.7,-35.4431,11.6993
,4.8,-36.7683,11.6507
,4.9,-39.7925,9.85538
,5,-40.4082,9.31886
,5.1,-42.2656,8.54393
,5.2,-45.4596,10.5625
,5.3,-48.9919,10.3298
,5.4,-49.5574,11.1375
,5.5,-47.0083,10.7843
,5.6,-53.2426,11.0997
,5.7,-52.2082,11.0188
,5.8,-51.1436,11.4885
,5.9,-51.9466,10.347
,6,-51.1909,10.8006
,6.1,-51.9328,11.0857
,6.2,-51.0783,11.6744
,6.3,-52.0408,11.518
,6.4,-53.3188,10.5627
,6.5,-51.4347,11.4035
,6.6,-51.5413,11.6007
,6.7,-51.2681,11.8669
,6.8,-50.2193,11.3965
,6.9,-48.371,11.4223
,7,-46.0135,10.9287
,7.1,-45.4048,11.0408
,7.2,-43.6517,11.3253
,7.3,-39.9366,11.1852
,7.4,-38.6667,11.8414
,7.5,-36.4752,9.93128
,7.6,-36.402,10.2961
,7.7,-35.5449,10.5425
,7.8,-35.2796,10.8444
,7.9,-31.237,9.26973
,8,-31.0975,9.45944
,8.1,-30.0261,8.86325
,8.2,-26.7538,9.07625
,8.3,-25.8893,10.0997
,8.4,-23.9613,9.62237
,8.5,-22.0326,9.667
,8.6,-22.4825,9.07863
,8.7,-24.8779,8.71356
,8.8,-22.0067,9.32063
,8.9,-25.4124,9.96654
,9,-21.759,9.45774
,9.1,-24.203,10.2821
,9.2,-24.8638,9.77787
,9.3,-20.8077,9.45066
,9.4,-27.5071,8.56233
,9.5,-24.4204,9.00794
,9.6,-28.235,10.0835
,9.7,-29.5875,9.64289
,9.8,-33.0593,8.81003
,9.9,-37.0887,10.2962
