DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-14.8234,5.5399
,0.1,-14.1443,6.7495
,0.2,-15.5797,5.93589
,0.3,-14.2675,8.28148
,0.4,-13.7943,6.89656
,0.5,-11.6971,6.0634
,0.6,-10.3366,6.83683
,0.7,-10.1606,7.64539
,0.8,-6.97438,7.84011
,0.9,-6.11775,6.92458
,1,-5.295,6.15739
,1.1,-2.02255,7.28631
,1.2,-2.74065,7.14429
,1.3,-3.96036,7.49847
,1.4,-2.57672,6.63243
,1.5,-3.98887,7.18231
,1.6,-3.63666,7.586
,1.7,-4.62824,7.07998
,1.8,-3.35956,7.0793
,1.9,-5.76924,7.48734
,2,-4.21516,6.9585
,2.1,-7.09861,7.06137
,2.2,-5.68106,6.44791
,2.3,-8.88457,8.38293
,2.4,-7.18053,5.6051
,2.5,-9.32893,6.54298
,2.6,-8.95208,6.32725
,2.7,-9.88194,5.68286
,2.8,-12.1595,5.73124
,2.9,-9.71287,6.1284
,3,-10.883,5.51236
,3.1,-11.5416,6.0935
,3.2,-11.8126,6.02265
,3.3,-13.4856,6.34012
,3.4,-12.807,6.07419
,3.5,-15.4034,5.55589
,3.6,-15.2462,4.69416
,3.7,-15.2058,6.63886
,3.8,-15.3072,5.30988
,3.9,-15.4439,5.05788
,4,-15.9514,6.22572
,4.1,-16.8104,6.1757
,4.2,-15.6414,4.96068
,4.3,-15.1134,5.97578
,4.4,-13.2245,6.11371
,4.5,-11.3132,5.90761
,4.6,-11.3893,7.11355
,4.7,-8.11826,7.41646
,4.8,-5.82495,6.66698
,4.9,-4.48738,8.24522
,5,-1.66284,7.44125
,5.1,-0.90628,7.78318
,5.2,1.44532,6.45916
,5.3,2.67803,7.0433
,5.4,3.45216,7.14304
,5.5,2.37842,7.32258
,5.6,3.46418,6.02406
,5.7,2.67825,8.20685
,5.8,3.82502,8.32058
,5.9,4.07664,7.56829
,6,3.40454,7.49915
,6.1,1.79066,7.91924
,6.2,4.14159,8.50388
,6.3,0.47258,8.75837
,6.4,2.30253,7.00244
,6.5,1.18636,8.17148
,6.6,1.51402,7.63171
,6.7,0.64706,6.50746
,6.8,0.70939,8.15221
,6.9,-1.23548,7.94438
,7,-2.87451,8.92454
,7.1,-0.34121,8.64074
,7.2,-2.71851,6.42547
,7.3,-3.9237,7.43183
,7.4,-4.71265,7.03536
,7.5,-5.10408,7.21962
,7.6,-5.89046,9.06263
,7.7,-5.66098,8.01199
,7.8,-7.05949,7.51551
,7.9,-7.17578,6.63433
,8,-8.36031,7.66283
,8.1,-8.7327,7.07766
,8.2,-8.86897,6.4474
,8.3,-8.60598,6.87388
,8.4,-9.60317,6.72489
,8.5,-10.4805,7.67271
,8.6,-10.2457,7.25163
,8.7,-10.7498,7.47827
,8.8,-10.1377,6.7252
,8.9,-11.6582,6.88191
,9,-14.5242,6.22328
,9.1,-13.9007,5.90258
,9.2,-14.7273,5.00037
,9.3,-14.5154,6.63494
,9.4,-14.093,6.24584
,9.5,-13.3023,5.92193
,9.6,-11.7132,5.27463
,9.7,-9.02789,5.17192
,9.8,-7.91988,5.67114
,9.9,-7.12001,5.66203
