DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,5.17185,-25.8757
,0.1,5.43672,-24.9963
,0.2,4.94851,-22.4156
,0.3,6.62146,-26.7428
,0.4,6.05249,-27.4334
,0.5,4.58904,-26.1711
,0.6,3.75268,-26.4268
,0.7,0.0872,-24.4974
,0.8,-2.82919,-28.4832
,0.9,-5.00999,-28.0934
,1,-8.60852,-28.8866
,1.1,-10.3692,-29.2456
,1.2,-10.207,-30.5742
,1.3,-9.9479,-27.8
,1.4,-10.3203,-29.4079
,1.5,-8.65489,-29.818
,1.6,-9.00088,-29.9679
,1.7,-10.9609,-30.9591
,1.8,-10.716,-31.256
,1.9,-12.759,-31.3865
,2,-13.0341,-29.8373
,2.1,-11.066,-30.8719
,2.2,-8.23882,-28.3077
,2.3,-7.62963,-29.3863
,2.4,-8.00243,-29.3239
,2.5,-11.73,-31.4625
,2.6,-9.4254,-29.2908
,2.7,-6.58655,-28.6099
,2.8,-5.93173,-28.966
,2.9,-4.25743,-29.5278
,3,-0.47788,-24.4038
,3.1,2.7204,-26.3205
,3.2,3.86159,-26.4831
,3.3,6.30387,-26.7226
,3.4,7.55342,-26.2726
,3.5,8.93902,-27.6652
,3.6,6.76855,-26.1494
,3.7,7.3971,-26.0309
,3.8,5.63926,-27.3491
,3.9,7.28497,-29.1676
,4,8.49167,-24.8401
,4.1,5.96932,-26.0845
,4.2,5.3024,-27.4288
,4.3,7.24737,-25.7489
,4.4,8.09035,-25.7014
,4.5,7.35854,-25.0638
,4.6,4.85498,-26.5494
,4.7,3.31556,-26.526
,4.8,0.8802,-28.5438
,4.9,-1.95509,-29.3494
,5,-4.67078,-30.293
,5.1,-6.59003,-30.9787
,5.2,-10.1327,-30.7485
,5.3,-12.141,-31.2488
,5.4,-13.479,-32.2995
,5.5,-15.2127,-32.1074
,5.6,-16.3559,-32.296
,5.7,-18.0192,-32.7994
,5.8,-19.6285,-32.0962
,5.9,-19.0397,-32.9474
,6,-18.3938,-33.143
,6.1,-22.1212,-33.7248
,6.2,-20.4745,-34.0061
,6.3,-19.3005,-33.9524
,6.4,-19.9233,-33.3664
,6.5,-21.6165,-34.1302
,6.6,-20.2216,-33.6718
,6.7,-18.6541,-32.2714
,6.8,-18.5575,-30.2355
,6.9,-19.6256,-33.4049
,7,-20.0959,-33.7303
,7.1,-16.7843,-32.3409
,7.2,-16.4675,-30.7506
,7.3,-15.2377,-31.4234
,7.4,-11.5056,-31.3688
,7.5,-8.09907,-30.4591
,7.6,-7.28204,-30.2042
,7.7,-2.79312,-26.2102
,7.8,-3.38513,-29.3692
,7.9,2.51285,-26.6011
,8,2.52261,-26.4307
,8.1,0.77083,-28.052
,8.2,4.76299,-26.2058
,8.3,5.40525,-27.8983
,8.4,5.8447,-25.6757
,8.5,5.66517,-26.8061
,8.6,6.41881,-27.8627
,8.7,6.888,-28.9435
,8.8,7.12581,-26.9387
,8.9,6.6242,-25.3639
,9,5.82242,-26.4968
,9.1,7.98782,-26.5231
,9.2,7.40246,-27.0232
,9.3,6.3394,-26.3521
,9.4,6.9665,-26.4044
,9.5,6.6703,-25.9953
,9.6,3.38354,-26.6852
