DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,1.68916,-20.9428
,0.1,1.10488,-20.9202
,0.2,0.97952,-19.6499
,0.3,2.30215,-20.8003
,0.4,2.52388,-20.1754
,0.5,4.08784,-20.0676
,0.6,6.25363,-19.3835
,0.7,9.13343,-17.7811
,0.8,9.66385,-17.2818
,0.9,10.1009,-15.4698
,1,12.7687,-16.5391
,1.1,11.5091,-16.5654
,1.2,11.937,-16.8672
,1.3,11.5907,-16.7562
,1.4,11.6794,-16.5773
,1.5,12.7027,-16.4459
,1.6,11.0062,-16.3062
,1.7,12.74,-15.6345
,1.8,10.1039,-17.2082
,1.9,10.4603,-17.1205
,2,14.158,-17.8922
,2.1,8.78269,-19.3135
,2.2,10.5079,-19.2757
,2.3,6.15988,-19.9997
,2.4,2.51247,-20.6723
,2.5,1.87483,-21.8413
,2.6,-0.84673,-22.5966
,2.7,-3.64574,-21.9298
,2.8,-1.69378,-22.9268
,2.9,-3.68731,-22.346
,3,-2.30156,-22.47
,3.1,-2.79779,-22.1963
,3.2,-2.34028,-22.3507
,3.3,-2.50288,-22.4751
,3.4,-3.99078,-22.6107
,3.5,-1.58185,-22.5863
,3.6,-2.33189,-22.2535
,3.7,-3.13337,-23.2111
,3.8,-1.60894,-25.2503
,3.9,-2.46669,-23.1182
,4,-2.84351,-23.4653
,4.1,-2.0966,-22.8138
,4.2,-2.2089,-22.8668
,4.3,-2.18824,-21.628
,4.4,-1.41315,-21.2946
,4.5,0.33415,-24.3026
,4.6,3.0345,-21.2677
,4.7,5.33812,-23.753
,4.8,7.66907,-18.7808
,4.9,8.15945,-17.8477
,5,9.69428,-18.5662
,5.1,10.4575,-18.6987
,5.2,10.6292,-17.2632
,5.3,10.087,-18.7494
,5.4,11.5135,-18.0065
,5.5,10.934,-18.0666
,5.6,10.273,-21.585
,5.7,10.5712,-21.1495
,5.8,9.14833,-17.8036
,5.9,11.4535,-17.6115
,6,9.95413,-16.5836
,6.1,11.2561,-18.1537
,6.2,10.5603,-17.6557
,6.3,10.9748,-18.9087
,6.4,10.8823,-18.0846
,6.5,10.8278,-18.0938
,6.6,9.31628,-18.2156
,6.7,10.3785,-21.3629
,6.8,8.06069,-19.6193
,6.9,2.33938,-19.6636
,7,3.45907,-21.7781
,7.1,-0.75751,-23.3801
,7.2,-2.95845,-23.5078
,7.3,-1.07611,-23.0233
,7.4,-1.17119,-24.1044
,7.5,-3.35022,-23.2286
,7.6,-4.33851,-24.1701
,7.7,-2.73704,-22.7603
,7.8,-1.39024,-24.1612
,7.9,-2.39748,-23.0848
,8,-2.80003,-23.1722
,8.1,-2.79118,-22.534
,8.2,-2.89403,-23.8963
,8.3,-3.37237,-24.3218
,8.4,-2.58726,-23.2975
,8.5,-1.63678,-23.5104
,8.6,-1.6939,-22.2036
,8.7,-3.13488,-25.6559
,8.8,-3.30564,-23.459
,8.9,-3.34529,-22.9502
,9,-2.15782,-23.2993
,9.1,1.1723,-21.7093
,9.2,7.34497,-19.6702
,9.3,10.5153,-17.4577
,9.4,12.134,-15.2259
,9.5,15.164,-13.8976
,9.6,16.3359,-13.1261
